Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Confimartion,250,1249,556,2270,294.02,0.000%,99.00990,581.98,277.57,6019.0
TOTAL,250,1249,556,2270,294.02,0.000%,99.00990,581.98,277.57,6019.0
